model_type,n_estimators,timestamp,terminal_id,event_type,wired_latency_ms,satellite_latency_ms,wired_packet_loss_pct,satellite_packet_loss_pct,anomaly_score,trust_score
IsolationForest,200,2025-08-24 15:44:56.020322,terminal_001,wired_config_failure,157.80916154791387,820.8471689127142,0.8,1.2260134399010352,-0.27864395783273993,0.0
IsolationForest,200,2025-08-24 15:45:18.020322,terminal_001,wired_config_failure,161.93162370089976,852.84751313498,0.8,1.1754463202008962,-0.2707250455220305,0.020659215675384836
IsolationForest,200,2025-08-24 15:44:58.020322,terminal_001,wired_config_failure,169.08281729451085,812.8435797490068,0.8,1.1218055741265918,-0.2706268457020728,0.020915403795696154
IsolationForest,200,2025-08-24 15:30:10.020322,terminal_001,wired_config_failure,153.00378823803123,761.8974124715749,0.8,1.098455068661992,-0.27028622885672365,0.021804020387803196
IsolationForest,200,2025-08-24 15:45:08.020322,terminal_001,wired_config_failure,159.26662631944876,800.0415720699569,0.8,1.353033006333338,-0.27011330816671225,0.022255143684730055
IsolationForest,200,2025-08-24 15:30:05.020322,terminal_001,wired_config_failure,154.25273386238405,843.5870335305641,0.8,1.3833626811151027,-0.26963402653436636,0.023505515228621713
IsolationForest,200,2025-08-24 15:45:11.020322,terminal_001,wired_config_failure,166.2622652112232,789.4336287728643,0.8,1.2331589723523677,-0.26886114509258413,0.025521843200291217
IsolationForest,200,2025-08-24 15:44:59.020322,terminal_001,wired_config_failure,170.6002611299163,821.0644352469566,0.8,1.3291830461253795,-0.2687133811604036,0.0259073364125133
IsolationForest,200,2025-08-24 15:45:05.020322,terminal_001,wired_config_failure,168.12560517702917,819.1119894394727,0.8,1.2326895837204026,-0.26738844281469193,0.029363895339631043
IsolationForest,200,2025-08-24 15:45:19.020322,terminal_001,wired_config_failure,179.17857503177854,817.4642042357876,0.8,1.2565215042548843,-0.2665888571406319,0.03144989051715235
IsolationForest,200,2025-08-24 15:45:13.020322,terminal_001,wired_config_failure,168.17927897024785,802.5812531379063,0.8,0.8847790106486667,-0.2655632834883202,0.03412545332714155
IsolationForest,200,2025-08-24 15:30:06.020322,terminal_001,wired_config_failure,157.0941748352335,822.8653165863113,0.8,1.2005773864436655,-0.26516656201041294,0.03516043821566713
IsolationForest,200,2025-08-24 15:45:16.020322,terminal_001,wired_config_failure,162.03132497282718,812.393505948174,0.8,1.1503222390744348,-0.26464303082909496,0.03652624997910972
IsolationForest,200,2025-08-24 15:45:06.020322,terminal_001,wired_config_failure,164.86936032620542,763.8999023180688,0.8,1.2703257034752575,-0.2643673770991151,0.03724538786521515
IsolationForest,200,2025-08-24 15:45:12.020322,terminal_001,wired_config_failure,164.44327381034643,768.404964469038,0.8,0.6913509964520591,-0.26180881817853224,0.04392027179934048
IsolationForest,200,2025-08-24 15:15:12.020322,terminal_001,wired_config_failure,161.47207807231206,764.3445808443062,0.8,0.6538202447559359,-0.2617582998895401,0.044052066190652155
IsolationForest,200,2025-08-24 15:45:00.020322,terminal_001,wired_config_failure,164.2286683142235,833.5711782756597,0.8,1.0710202664576942,-0.2616890494835194,0.04423272977391402
IsolationForest,200,2025-08-24 15:45:03.020322,terminal_001,wired_config_failure,157.80026047520528,780.8399236615176,0.8,1.1750285700709622,-0.26147291024159375,0.04479660357875682
IsolationForest,200,2025-08-24 15:14:58.020322,terminal_001,wired_config_failure,167.89655189020357,795.4410911662375,0.8,1.2746402284197993,-0.2614137157952167,0.04495103272085431
IsolationForest,200,2025-08-24 15:45:07.020322,terminal_001,wired_config_failure,159.616943150537,818.5058323671608,0.8,1.098523729433012,-0.261203893829351,0.045498425730926016
